題號,題目,選項1,選項2,選項3,選項4,答案,答案精簡說明
1,某歷史博物館舉辦「貿易與標記」特展，展出 16 世紀威士忌製造商在木桶蓋上標記生產者名字與日期的古文物。根據品牌演進史，此做法在當時市場環境下的核心功能，最接近現代品牌定義中的哪一項？,傳遞企業對於 ESG 永續經營的承諾,建立品牌與消費者深層的情感連結,確認產品來源，並藉此區隔產品以避免混淆,透過設計美學提升產品的溢價能力,3,1.正確： 歷史上品牌最早的作用就是作為標記，讓消費者確認來源並區分不同製造商。<br>2.錯誤： (A)(B)(D) 皆為現代品牌的進階功能，非 16 世紀初期的核心目的。
2,小明在超市購買飲料時，雖然「認得」且能「立刻想起」曾看過 A 品牌的廣告，但他最後卻選擇了正在買一送一且包裝更吸引他的 B 品牌。若從小明的行為分析 A 品牌的權益現況，下列敘述何者最適當？,A 品牌具備極高的品牌忠誠度，足以抵抗競爭者,A 品牌僅具備知名度，但尚未轉化為穩固的忠誠度,小明的選擇代表 A 品牌缺乏專利或商標等專屬資產,根據 Aaker 模型，只要消費者認得品牌名稱，即代表該品牌具備核心價值,2,1.正確： 知名度不等於忠誠度。小明雖有認知，但因價格或包裝轉向競爭者，說明忠誠度不足。<br>2.錯誤： (A)顯然錯誤；(C)專屬資產與此行為無直接關聯；(D)核心價值通常指忠誠度。
3,某高級腕錶品牌在廣告中不提及時間精準度，而是強調佩戴者為「改變世界的領導者」與「具有品味的藝術贊助者」。此廣告策略主要在傳遞品牌價值主張中的哪一個層次？,功能性利益 (Functional Benefits),情感性利益 (Emotional Benefits),自我表達利益 (Self-Expressive Benefits),產品屬性價值 (Product Attributes),3,1.正確： 自我表達利益強調品牌反映消費者的個性、地位或風格。<br>2.錯誤： (A)(D)涉及功能與物理特徵；(B)情感性利益偏向使用時的內在感受（如快樂），而非對外形象。
4,宏碁（Acer）電腦曾與法拉利（Ferrari）合作，推出鑲嵌法拉利標誌的筆電。消費者因此對該筆電產生「高性能、工藝技術」的正面聯想。這種透過合作對象轉移形象的機制，在品牌管理中稱為？,品牌線性延伸 (Line Extension),品牌次級聯想 (Secondary Brand Association),品牌識別系統 (Identity System),品牌重新定位 (Repositioning),2,1.正確： 次級聯想是指將品牌與另一個具備正面形象的實體連結，以借用其正面觀感。<br>2.錯誤： (A)是同品牌推新產品；(C)是視覺設計；(D)是改變品牌在心目中的位置。
5,某新創企業致力於打造「科技且親民」的品牌識別 (Identity)，但在顧客調查中，發現消費者對其印象卻是「冷冰冰且昂貴」。針對此現象，下列分析何者正確？,企業主動傳達的「品牌識別」與消費者感知的「品牌形象」產生落差,這是正常的市場反應，只要增加知名度就能消除此落差,消費者的認知受潛意識影響，與品牌名稱的選擇無關,該企業應立即縮減產品線，以符合其原本的品牌定位,1,1.正確： 品牌識別是企業「想成為」的樣子，品牌形象是消費者「實際感受」的樣子，兩者常有落差。<br>2.錯誤： (B)知名度高不代表能消除負面印象；(C)品牌元素會影響認知；(D)應調整溝通或產品而非直接縮減。
6,根據 Aaker 品牌權益模型，哪一個構面被視為品牌價值的核心，能為企業帶來穩定的現金流並有效抵禦競爭者的價格戰？,品牌知名度,知覺品質,品牌忠誠度,品牌聯想,3,1.正確： 忠誠度是 Aaker 模型中最重要的核心，代表顧客重複購買與推薦的承諾。<br>2.錯誤： (A)僅是第一步；(B)是主觀評價；(D)是心理連結，皆須透過忠誠度才能轉化為長期利潤。
7,全球最佳品牌排行榜 (Interbrand) 在評估品牌價值時，若某品牌雖然知名度極高，但在「品牌強度」中的「品牌一致性」得分極低，這可能會導致該品牌在財務表現上出現什麼問題？,品牌稀釋 (Brand Dilution)，使消費者對核心價值感到混淆,品牌溢價 (Price Premium) 能力大幅提升,獲得更高的 NPS (淨推薦值),增加品牌專屬資產的專利數量,1,1.正確： 缺乏一致性的溝通會導致品牌聯想模糊，造成品牌權益被稀釋。<br>2.錯誤： (B)形象混淆會降低溢價能力；(C)NPS 代表滿意與推薦，與一致性負相關；(D)專利屬法律層面，非溝通層面。
8,某運動品牌推出的「環保回收鞋」在市場上引起廣大迴響，但其售價比一般鞋款高出 30%。從品牌權益的角度看，消費者願意支付這 30% 額外費用的行為，具體體現了品牌權益的哪項財務指標？,淨推薦值 (NPS),品牌溢價 (Price Premium),轉換率 (CVR),知覺品質 (Perceived Quality),2,1.正確： 品牌溢價是指消費者因品牌價值而願意支付高於競品的額外價格。<br>2.錯誤： (A)是衡量忠誠度的問卷指標；(C)是數位行銷轉換比率；(D)是心理認知，非財務指標本身。
9,許多考生在準備 iPAS 考試時會使用 CCChen 老師整理的重點筆記，並因為看到其「高命中率、系統化」而對該品牌產生信任。這在品牌特質 AFBP 框架中，屬於哪一個層次？,Attributes (屬性),Functions (功能),Benefits (利益),Personalities (個性),3,1.正確： 「信任感」與「解決考試壓力」是消費者獲得的心理或實質收益，屬於利益層次。<br>2.錯誤： (A)屬性應為 PDF 格式、分頁數量；(B)功能是提供文字資訊；(D)個性是品牌散發出的專業感。
10,當 Apple 在所有產品包裝、官方網站及廣告影片中，始終維持極簡的白色調與俐落的字體。這種作法的主要目的是為了強化品牌管理中的哪一個關鍵要素？,增加產品線的深度,提升單次廣告的點擊率,建立品牌識別的一致性 (Consistency),降低企業的生產與營運成本,3,1.正確： 整合行銷溝通 (IMC) 的核心在於一致性，以鞏固消費者心中的品牌聯想。<br>2.錯誤： (A)涉及產品管理；(B)是數位行銷的短期指標；(D)視覺風格的一致性有時反而會增加設計成本。
